Train Accuracy,Validation Accuracy,Test Accuracy,Train Loss,Validation Loss,Test Loss
0.38517305,0.652068473,0.653460881,4.109210437,1.947962295,1.948116814
0.504613406,0.691488953,0.693172932,3.156207442,1.780657164,1.780783924
0.531363647,0.707860281,0.709913218,3.020499982,1.699325585,1.694546022
0.540407926,0.679803954,0.681543019,2.972772299,1.829453232,1.819825763
0.533013489,0.712435852,0.714377659,3.011943526,1.643632004,1.637075869
0.564267963,0.728474408,0.729916641,2.819351466,1.554875415,1.550138812
0.558011618,0.706013739,0.706573499,2.856562134,1.680656999,1.680970104
0.556131192,0.730069279,0.730340704,2.865163568,1.55273561,1.553475639
0.571766802,0.738460129,0.740849165,2.768865363,1.501014699,1.500131795
0.579515159,0.740658344,0.742469822,2.715435204,1.473176537,1.468434065
0.567702785,0.729390671,0.73014307,2.786585657,1.540155862,1.53315402
0.571609161,0.737347702,0.739499329,2.751753466,1.483118987,1.47913722
